code,name,address,coordinates
11140147,쌍림동,서울특별시 중구 쌍림동,POINT(37.5635266097209 127.004210503561)
11140148,을지로6가,서울특별시 중구 을지로6가,POINT(37.5677719920145 127.00663305138)
11140149,을지로7가,서울특별시 중구 을지로7가,POINT(37.5661499837089 127.009743356347)
11140150,을지로4가,서울특별시 중구 을지로4가,POINT(37.5664927576673 126.998754909258)
11140151,을지로5가,서울특별시 중구 을지로5가,POINT(37.5666080666787 127.002431326396)
11140152,주교동,서울특별시 중구 주교동,POINT(37.5682515063245 126.999357065301)
11140153,방산동,서울특별시 중구 방산동,POINT(37.5687055728614 127.002956612022)
11140154,오장동,서울특별시 중구 오장동,POINT(37.5649106130902 127.000692708562)
11140155,을지로3가,서울특별시 중구 을지로3가,POINT(37.5664564985185 126.992696980394)
11140156,입정동,서울특별시 중구 입정동,POINT(37.5678115982333 126.992728541874)
11140157,산림동,서울특별시 중구 산림동,POINT(37.5677288451172 126.995508543908)
11140158,충무로3가,서울특별시 중구 충무로3가,POINT(37.5626722201464 126.991307446764)
11140159,초동,서울특별시 중구 초동,POINT(37.5644057983172 126.992181048279)
11140160,인현동1가,서울특별시 중구 인현동1가,POINT(37.5637139255338 126.993729503193)
11140161,저동2가,서울특별시 중구 저동2가,POINT(37.5642218113844 126.989776983466)
11140162,신당동,서울특별시 중구 신당동,POINT(37.5620157313145 127.014442188261)
11140163,흥인동,서울특별시 중구 흥인동,POINT(37.5672917152733 127.016358403205)
11140164,무학동,서울특별시 중구 무학동,POINT(37.5643582177781 127.015271168107)
11140165,황학동,서울특별시 중구 황학동,POINT(37.5674999372119 127.021415848975)
11140166,서소문동,서울특별시 중구 서소문동,POINT(37.5631129454112 126.97389954989)
11140167,정동,서울특별시 중구 정동,POINT(37.5665870147753 126.973133171996)
11140168,순화동,서울특별시 중구 순화동,POINT(37.5625571795011 126.970694369794)
11140169,의주로1가,서울특별시 중구 의주로1가,POINT(37.5647873639982 126.968063019077)
11140170,충정로1가,서울특별시 중구 충정로1가,POINT(37.566510124401 126.968270553351)
11140171,중림동,서울특별시 중구 중림동,POINT(37.5591682253822 126.966182119336)
11140172,의주로2가,서울특별시 중구 의주로2가,POINT(37.561054032064 126.969567667479)
